step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
19499,62,0.20519506931304932,,,,,
19549,62,0.2507348656654358,,,,,
19599,62,0.21948067843914032,,,,,
19649,62,0.2230101227760315,,,,,
19655,62,,0.47749999165534973,0.47609999775886536,,,
19655,62,,,,0.4856606125831604,0.4546273946762085,0.45562902092933655
19699,63,0.2567081153392792,,,,,
19749,63,0.2792469263076782,,,,,
19799,63,0.20432837307453156,,,,,
19849,63,0.2556476294994354,,,,,
19899,63,0.20377451181411743,,,,,
19949,63,0.21894925832748413,,,,,
19967,63,,0.4823000133037567,0.4844000041484833,,,
19967,63,,,,0.49327531456947327,0.4643930196762085,0.4642678201198578
19999,64,0.231170654296875,,,,,
20049,64,0.2527131736278534,,,,,
20099,64,0.21828797459602356,,,,,
20149,64,0.18369323015213013,,,,,
20199,64,0.23654262721538544,,,,,
20249,64,0.21237227320671082,,,,,
20279,64,,0.4909000098705292,0.4925999939441681,,,
20279,64,,,,0.4996044337749481,0.4688251316547394,0.4688251316547394
20299,65,0.2145799696445465,,,,,
20349,65,0.17510664463043213,,,,,
20399,65,0.2590694725513458,,,,,
20449,65,0.2281152755022049,,,,,
20499,65,0.19916385412216187,,,,,
20549,65,0.21851864457130432,,,,,
20591,65,,0.49939998984336853,0.49540001153945923,,,
20591,65,,,,0.5073180198669434,0.47458434104919434,0.47536057233810425
20599,66,0.26222091913223267,,,,,
20649,66,0.17383816838264465,,,,,
20699,66,0.17591843008995056,,,,,
20749,66,0.21523693203926086,,,,,
20799,66,0.21332433819770813,,,,,
20849,66,0.2096257507801056,,,,,
20899,66,0.1940905600786209,,,,,
20903,66,,0.5016999840736389,0.4997999966144562,,,
20903,66,,,,0.5153283476829529,0.4808693826198578,0.4814453125
20949,67,0.20587779581546783,,,,,
20999,67,0.18586598336696625,,,,,
21049,67,0.23305320739746094,,,,,
21099,67,0.23752723634243011,,,,,
21149,67,0.16719333827495575,,,,,
21199,67,0.20686860382556915,,,,,
21215,67,,0.512499988079071,0.5083000063896179,,,
21215,67,,,,0.5208662748336792,0.48700422048568726,0.48858171701431274
21249,68,0.2168959081172943,,,,,
21299,68,0.21005088090896606,,,,,
21349,68,0.16880756616592407,,,,,
21399,68,0.18398788571357727,,,,,
21449,68,0.1876230239868164,,,,,
21499,68,0.18515335023403168,,,,,
21527,68,,0.5187000036239624,0.5178999900817871,,,
21527,68,,,,0.525217592716217,0.4930388629436493,0.49248796701431274
21549,69,0.1877707540988922,,,,,
21599,69,0.19623315334320068,,,,,
21649,69,0.22526498138904572,,,,,
21699,69,0.20137646794319153,,,,,
21749,69,0.19596520066261292,,,,,
21799,69,0.17884621024131775,,,,,
21839,69,,0.5205000042915344,0.5206999778747559,,,
21839,69,,,,0.5283821225166321,0.4975961446762085,0.4972706437110901
21849,70,0.19045424461364746,,,,,
21899,70,0.19855999946594238,,,,,
21949,70,0.20033657550811768,,,,,
21999,70,0.18160323798656464,,,,,
22049,70,0.18790863454341888,,,,,
22099,70,0.19181281328201294,,,,,
22149,70,0.18822288513183594,,,,,
22151,70,,0.5246000289916992,0.5249999761581421,,,
22151,70,,,,0.5351067781448364,0.5053585767745972,0.5053335428237915
22199,71,0.2250603437423706,,,,,
22249,71,0.1776212453842163,,,,,
22299,71,0.19846192002296448,,,,,
22349,71,0.19399097561836243,,,,,
22399,71,0.13913320004940033,,,,,
22449,71,0.2603257894515991,,,,,
22463,71,,0.536899983882904,0.5364000201225281,,,
22463,71,,,,0.5426226258277893,0.5094901919364929,0.5103665590286255
22499,72,0.15921007096767426,,,,,
22549,72,0.1677982062101364,,,,,
22599,72,0.16912047564983368,,,,,
22649,72,0.179093137383461,,,,,
22699,72,0.1797945499420166,,,,,
22749,72,0.16918601095676422,,,,,
22775,72,,0.5353999733924866,0.5418000221252441,,,
22775,72,,,,0.5470727682113647,0.5184044241905212,0.5171774625778198
22799,73,0.16545593738555908,,,,,
22849,73,0.2198754847049713,,,,,
22899,73,0.13591884076595306,,,,,
22949,73,0.1345885545015335,,,,,
22999,73,0.14275115728378296,,,,,
23049,73,0.1612485647201538,,,,,
23087,73,,0.545799970626831,0.5415999889373779,,,
23087,73,,,,0.5519185066223145,0.5185046195983887,0.520432710647583
23099,74,0.2020111083984375,,,,,
23149,74,0.1708928644657135,,,,,
23199,74,0.1993451565504074,,,,,
23249,74,0.16899679601192474,,,,,
23299,74,0.2339165210723877,,,,,
23349,74,0.1861950159072876,,,,,
23399,74,0.18800531327724457,,,,,
23399,74,,0.5479000210762024,0.5501000285148621,,,
23399,74,,,,0.5528085231781006,0.5274940133094788,0.5278445482254028
23449,75,0.19931469857692719,,,,,
23499,75,0.19174376130104065,,,,,
23549,75,0.21038620173931122,,,,,
23599,75,0.13801929354667664,,,,,
23649,75,0.18207207322120667,,,,,
23699,75,0.16953936219215393,,,,,
23711,75,,0.5557000041007996,0.5565999746322632,,,
23711,75,,,,0.563093364238739,0.5325019955635071,0.5320262312889099
23749,76,0.15861834585666656,,,,,
23799,76,0.15315262973308563,,,,,
23849,76,0.1764686405658722,,,,,
23899,76,0.1828891783952713,,,,,
